"acc_1","acc_2","age","avg_rt","condition","correct_1","correct_2","count_block_loop","dis_position","distance_dis","distance_tar","gender","hand","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_position"
"0","0","21","3301.98433723","low_load","0","0","0","","6","3","Female","Right-handed","yes","down","s","2355.84714147","4248.121533","9","6"
"50","50","21","2367.70382185","low_load","1","1","0","","6","3","Female","Right-handed","yes","down","d","1441.27104576","1425.57556716","9","4"
"66","66","21","2223.29922351","low_load","1","1","0","","6","3","Female","Right-handed","yes","left","d","1586.91365659","2282.06639709","9","4"
"75","75","21","2197.23518651","low_load","1","1","0","","6","3","Female","Right-handed","yes","left","s","2372.61190622","1865.47424476","9","4"
"80","80","21","2085.84597404","low_load","1","1","0","","6","2","Female","Right-handed","yes","down","s","1910.29157451","1370.28667388","9","3"
"83","83","21","2040.55990953","low_load","1","1","0","","6","4","Female","Right-handed","yes","down","s","2466.66611075","1161.59306317","9","5"
"85","85","21","1936.21101948","low_load","1","1","0","","6","1","Female","Right-handed","yes","down","d","1154.02563464","1466.20972377","9","0"
"87","75","21","1900.65306555","low_load","1","0","0","","6","1","Female","Right-handed","yes","left","s","2101.80219938","1201.6925767","9","2"
"88","66","21","1887.84465467","low_load","1","0","0","","6","1","Female","Right-handed","yes","left","s","1825.35292216","1745.40181298","9","2"
"90","70","21","1825.16619799","low_load","1","1","0","","6","3","Female","Right-handed","yes","left","s","1480.07516434","1042.04501137","9","6"
"90","63","21","1803.47728217","low_load","1","0","0","","6","0","Female","Right-handed","yes","down","s","1787.6870449","1385.48920322","9","1"
"91","66","21","1779.40107949","low_load","1","1","0","","6","1","Female","Right-handed","yes","down","s","2019.09127996","1010.03441985","9","2"
"92","69","21","1739.35125006","low_load","1","1","0","","6","1","Female","Right-handed","yes","down","d","1419.72848984","1097.7781042","9","2"
"92","71","21","1701.06266783","low_load","1","1","0","","6","1","Female","Right-handed","yes","down","d","1293.24611414","1113.3760834","9","2"
"93","73","21","1666.92410998","low_load","1","1","0","","6","0","Female","Right-handed","yes","left","s","1351.93273311","1026.03586695","9","1"
"93","75","21","1676.00425181","low_load","1","1","0","","6","4","Female","Right-handed","yes","down","d","2334.75327521","1289.65948336","9","5"
"94","76","21","1666.33689558","low_load","1","1","0","","6","2","Female","Right-handed","yes","down","s","1806.07979299","1217.23859898","9","7"
"94","77","21","1635.38809571","low_load","1","1","0","","6","2","Female","Right-handed","yes","down","d","1144.61533922","1073.90165646","9","3"
"89","73","21","1620.22976266","low_load","0","0","0","","6","2","Female","Right-handed","yes","down","s","1608.3571095","1086.4024262","9","7"
"90","75","21","1594.39368044","low_load","1","1","0","","6","0","Female","Right-handed","yes","down","d","1236.92417626","970.092059957","9","1"
"90","76","21","1576.80677654","low_load","1","1","0","","6","3","Female","Right-handed","yes","down","d","1416.52319716","1033.61420002","9","6"
"90","77","21","1569.23175898","low_load","1","1","0","","6","1","Female","Right-handed","yes","left","s","1763.09763282","1057.21514781","9","0"
"91","78","21","1546.14951008","low_load","1","1","0","","6","3","Female","Right-handed","yes","down","d","1130.8955063","945.784562253","9","4"
"91","79","21","1526.64205101","low_load","1","1","0","","6","2","Female","Right-handed","yes","down","d","1210.55315513","945.387829509","9","7"
"92","76","21","1496.52449929","low_load","1","0","0","","6","3","Female","Right-handed","yes","down","d","946.306376461","601.100139578","9","4"
"92","76","21","1512.29522413","low_load","1","1","0","","6","2","Female","Right-handed","yes","left","s","2963.59776624","849.528923966","9","3"
"92","77","21","1493.9078022","low_load","1","1","0","","6","1","Female","Right-handed","yes","down","s","974.298004341","1057.37166","9","0"
"92","78","21","1521.75054967","low_load","1","1","0","","6","0","Female","Right-handed","yes","left","d","2849.04784141","1697.96162116","9","1"
"89","79","21","1499.60137057","low_load","0","1","0","","6","1","Female","Right-handed","yes","down","s","836.333791752","922.514919974","9","0"
"90","80","21","1490.06990557","low_load","1","1","0","","6","1","Female","Right-handed","yes","left","d","1154.20299374","1273.1118472","9","0"
"90","80","21","1483.33353646","low_load","1","1","0","","6","2","Female","Right-handed","yes","left","d","1472.74667347","1089.73825261","9","7"
"90","81","21","1462.28889095","low_load","1","1","0","","6","4","Female","Right-handed","yes","left","s","994.372617038","625.437143678","9","5"
"100","100","21","1181.01500721","low_load","1","1","1","1","0","1","Female","Right-handed","no","down","d","1480.54373874","881.486275677","9","0"
"100","100","21","1194.78711776","low_load","1","1","1","","6","4","Female","Right-handed","no","down","d","1455.10633849","962.012118149","9","5"
"100","100","21","1198.26197703","low_load","1","1","1","","6","2","Female","Right-handed","no","down","s","1376.77743967","1033.64595147","9","3"
"100","100","21","1152.16312355","low_load","1","1","1","0","1","2","Female","Right-handed","no","down","s","898.327372186","1129.405754","9","3"
"100","100","21","1118.83960964","low_load","1","1","1","","6","4","Female","Right-handed","no","down","s","1009.10464764","961.986460413","9","5"
"83","100","21","1205.92682478","low_load","0","1","1","","6","3","Female","Right-handed","no","down","s","2301.32477306","981.401027849","9","6"
"85","100","21","1205.10578868","low_load","1","1","1","0","1","2","Female","Right-handed","no","left","d","1398.12884545","1002.23029871","9","7"
"75","100","21","1221.13115818","low_load","0","1","1","1","0","4","Female","Right-handed","no","down","d","604.786514807","2061.83097453","9","5"
"77","100","21","1230.37792562","low_load","1","1","1","1","0","2","Female","Right-handed","no","down","s","1431.32129643","1177.38283395","9","7"
"80","100","21","1308.12936502","low_load","1","1","1","","6","1","Female","Right-handed","no","down","d","2357.96775336","1657.81688587","9","2"
"81","100","21","1313.93097276","low_load","1","1","1","1","0","3","Female","Right-handed","no","left","s","1462.31391727","1281.58018299","9","6"
"83","91","21","1312.07460275","low_load","1","0","1","1","0","2","Female","Right-handed","no","left","s","1510.15950132","1073.14956408","9","7"
"84","92","21","1370.84844261","low_load","1","1","1","1","0","3","Female","Right-handed","no","left","s","1070.58795985","3081.68108204","9","4"
"85","92","21","1388.66045358","low_load","1","1","1","","6","2","Female","Right-handed","no","left","d","1191.16167966","2049.27151273","9","7"
"86","93","21","1400.49649857","low_load","1","1","1","1","0","1","Female","Right-handed","no","down","s","1986.60249239","1145.79976446","9","2"
"87","93","21","1430.3325415","low_load","1","1","1","4","3","3","Female","Right-handed","no","down","s","2106.47062446","1649.27574626","9","6"
"88","88","21","1461.27709947","low_load","1","0","1","1","0","3","Female","Right-handed","no","down","s","2894.86197421","1017.91807998","9","4"
"88","88","21","1446.59088334","low_load","1","1","1","","6","2","Female","Right-handed","no","down","s","1448.53956166","945.310856301","9","7"
"89","89","21","1447.82798149","low_load","1","1","1","","6","1","Female","Right-handed","no","left","d","1747.16995171","1193.0215448","9","2"
"90","90","21","1436.35983435","low_load","1","1","1","1","0","3","Female","Right-handed","no","left","d","1371.60997162","1065.32010592","9","4"
"90","90","21","1419.70320628","low_load","1","1","1","5","4","0","Female","Right-handed","no","left","s","1244.04355657","929.097732882","9","1"
"86","90","21","1442.59179959","low_load","0","1","1","","6","3","Female","Right-handed","no","left","s","2038.01161526","1808.49290307","9","4"
"86","91","21","1437.51883194","low_load","1","1","1","1","0","2","Female","Right-handed","no","left","s","1802.41073674","849.416350649","9","3"
"83","91","21","1465.8922761","low_load","0","1","1","5","4","3","Female","Right-handed","no","None","s","3000.12764724","1236.83533635","9","4"
"84","92","21","1462.13464667","low_load","1","1","1","2","1","1","Female","Right-handed","no","left","d","1438.37717385","1305.52590662","9","0"
"84","92","21","1452.73096255","low_load","1","1","1","1","0","2","Female","Right-handed","no","left","s","1650.30686652","784.970852812","9","3"
"85","92","21","1456.51234679","low_load","1","1","1","","6","1","Female","Right-handed","no","left","s","1979.88048627","1129.77618757","9","0"
"85","92","21","1470.29141713","low_load","1","1","1","1","0","4","Female","Right-handed","no","down","s","2811.34764693","873.304985811","9","5"
"86","93","21","1473.55213285","low_load","1","1","1","1","0","4","Female","Right-handed","no","left","d","1872.83256275","1256.87178316","9","5"
"86","93","21","1485.66357427","low_load","1","1","1","7","2","4","Female","Right-handed","no","left","d","2592.38452736","1081.40622354","9","5"
"87","93","21","1487.07630698","low_load","1","1","1","","6","2","Female","Right-handed","no","left","s","1810.09939807","1248.81717837","9","3"
"87","93","21","1479.63657741","low_load","1","1","1","7","2","2","Female","Right-handed","no","down","d","1432.46627291","1065.54364894","9","3"
"84","93","21","1478.17108819","low_load","0","1","1","2","1","4","Female","Right-handed","no","left","d","1275.35497478","1587.19589168","9","5"
"85","94","21","1484.34870554","low_load","1","1","1","1","0","1","Female","Right-handed","no","down","d","2270.70258579","1105.7175699","9","0"
"85","94","21","1484.90394568","low_load","1","1","1","2","1","4","Female","Right-handed","no","left","s","1798.22884648","1209.33537483","9","5"
"86","94","21","1469.9084646","low_load","1","1","1","5","4","1","Female","Right-handed","no","left","s","1057.01918686","833.114066597","9","2"
"86","94","21","1469.93797485","low_load","1","1","1","1","0","1","Female","Right-handed","no","left","s","1964.46275266","977.537934963","9","2"
"84","92","21","1536.52142407","low_load","0","0","1","1","0","2","Female","Right-handed","no","None","None","3000.11289404","5000.10519672","9","7"
"84","92","21","1524.17226416","low_load","1","1","1","","6","0","Female","Right-handed","no","left","d","964.375516362","1145.43285884","9","1"
"85","92","21","1512.89551801","low_load","1","1","1","1","0","3","Female","Right-handed","no","down","s","1241.02203743","905.182798541","9","4"
"85","92","21","1521.68365","low_load","1","1","1","1","0","3","Female","Right-handed","no","left","d","1961.77542553","1784.64243379","9","6"
"85","92","21","1518.36318825","low_load","1","1","1","1","0","1","Female","Right-handed","no","down","s","1771.18174401","993.266768613","9","2"
"86","90","21","1517.17359168","low_load","1","0","1","3","2","0","Female","Right-handed","no","down","s","1885.71467058","1048.70640109","9","1"
"86","90","21","1520.42865301","low_load","1","1","1","7","2","4","Female","Right-handed","no","down","d","1959.35782535","1361.43475494","9","5"
"86","91","21","1519.20556379","low_load","1","1","1","","6","2","Female","Right-handed","no","left","d","1857.87217829","1072.90709847","9","7"
"84","91","21","1515.07312859","low_load","0","1","1","6","3","2","Female","Right-handed","no","down","s","1830.65413115","827.572957773","9","3"
"85","91","21","1511.58729291","low_load","1","1","1","1","0","1","Female","Right-handed","no","left","d","1709.32511174","993.152591688","9","2"
"83","89","21","1516.38292886","low_load","0","0","1","","6","1","Female","Right-handed","no","left","s","1748.76490073","1734.7907355","9","0"
"83","89","21","1529.21814621","low_load","1","1","1","6","3","2","Female","Right-handed","no","left","s","2553.33184946","1737.28530889","9","7"
"84","90","21","1525.42102421","low_load","1","1","1","","6","0","Female","Right-handed","no","down","s","1693.87113659","984.852955515","9","1"
"82","88","21","1548.37779655","low_load","0","0","1","0","1","2","Female","Right-handed","no","None","d","3000.09397146","2392.33885659","9","3"
"82","88","21","1542.12634824","low_load","1","1","1","","6","4","Female","Right-handed","no","left","s","1613.72502861","832.879939756","9","5"
"83","88","21","1538.44455627","low_load","1","1","1","","6","3","Female","Right-handed","no","left","d","1564.42465093","1129.55809681","9","4"
"83","88","21","1538.31592373","low_load","1","1","1","1","0","2","Female","Right-handed","no","down","s","1262.17523721","1800.82156071","9","3"
"83","87","21","1537.94916491","low_load","1","0","1","1","0","3","Female","Right-handed","no","down","s","1619.74208844","1416.54628912","9","6"
