"acc_1","acc_2","age","avg_rt","condition","correct_1","correct_2","count_block_loop","dis_position","distance_dis","distance_tar","gender","hand","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_position"
"0","0","23","1530.03084964","high_load","0","0","0","","6","3","Male","Right-handed","yes","left","d","1884.95385062","1175.10784865","11","4"
"0","0","23","1741.82808552","high_load","0","0","0","","6","0","Male","Right-handed","yes","left","d","2577.49050922","1329.76013357","11","7"
"33","0","23","1588.31808277","high_load","1","0","0","","6","4","Male","Right-handed","yes","down","s","1361.29706382","1201.29909074","11","3"
"50","0","23","1591.08376066","high_load","1","0","0","","6","0","Male","Right-handed","yes","down","d","1500.89014624","1697.87144242","11","7"
"60","20","23","1586.77448912","high_load","1","1","0","","6","2","Male","Right-handed","yes","down","s","1785.45246722","1353.62233874","11","5"
"66","33","23","1476.81829995","high_load","1","1","0","","6","1","Male","Right-handed","yes","left","d","651.958113255","1202.11659488","11","0"
"71","42","23","1376.39181994","high_load","1","1","0","","6","3","Male","Right-handed","yes","down","d","609.750653218","937.915226519","11","4"
"75","50","23","1301.32983534","high_load","1","1","0","","6","3","Male","Right-handed","yes","left","d","694.323044669","857.468841675","11","4"
"66","55","23","1230.47154499","high_load","0","1","0","","6","1","Male","Right-handed","yes","left","d","540.947207963","786.263236335","11","6"
"70","60","23","1199.23753066","high_load","1","1","0","","6","3","Male","Right-handed","yes","left","d","1018.51234771","817.750455657","11","2"
"72","63","23","1195.84384904","high_load","1","1","0","","6","2","Male","Right-handed","yes","down","d","1162.21315595","1161.60090981","11","1"
"75","66","23","1207.02558862","high_load","1","1","0","","6","1","Male","Right-handed","yes","down","d","1610.07585887","1049.97358907","11","0"
"76","61","23","1207.0358176","high_load","1","0","0","","6","1","Male","Right-handed","yes","down","d","1460.57939845","953.737732226","11","6"
"78","57","23","1225.4765021","high_load","1","0","0","","6","4","Male","Right-handed","yes","down","s","1681.1275207","1249.28328074","11","3"
"80","60","23","1212.96714236","high_load","1","1","0","","6","3","Male","Right-handed","yes","down","d","729.764046302","1345.90816564","11","4"
"81","62","23","1203.41139405","high_load","1","1","0","","6","1","Male","Right-handed","yes","left","s","1086.57269485","1033.57764381","11","6"
"82","64","23","1207.66269258","high_load","1","1","0","","6","0","Male","Right-handed","yes","left","d","1469.11620714","1082.25073099","11","7"
"83","66","23","1190.7227088","high_load","1","1","0","","6","1","Male","Right-handed","yes","down","d","699.594006081","1105.89196309","11","6"
"84","68","23","1187.07003533","high_load","1","1","0","","6","2","Male","Right-handed","yes","down","d","913.247062967","1329.39676276","11","5"
"85","70","23","1165.86938631","high_load","1","1","0","","6","3","Male","Right-handed","yes","left","d","691.990800593","834.123309388","11","2"
"85","71","23","1152.05774891","high_load","1","1","0","","6","4","Male","Right-handed","yes","down","d","709.768388792","1041.88161296","11","3"
"86","72","23","1135.20998579","high_load","1","1","0","","6","3","Male","Right-handed","yes","left","d","513.218134416","1049.59578605","11","4"
"86","73","23","1129.44416871","high_load","1","1","0","","6","1","Male","Right-handed","yes","left","s","619.061990163","1386.13039592","11","0"
"87","75","23","1131.65625918","high_load","1","1","0","","6","3","Male","Right-handed","yes","down","d","931.312653803","1433.75602585","11","2"
"88","76","23","1114.62717289","high_load","1","1","0","","6","1","Male","Right-handed","yes","left","d","602.404020235","809.454183687","11","0"
"88","73","23","1117.27227975","high_load","1","0","0","","6","2","Male","Right-handed","yes","left","s","1164.8731714","1201.92673123","11","5"
"88","74","23","1111.91677254","high_load","1","1","0","","6","2","Male","Right-handed","yes","down","d","943.668544242","1001.67862562","11","1"
"89","75","23","1114.04057987","high_load","1","1","0","","6","1","Male","Right-handed","yes","down","s","1421.37223315","921.394522883","11","0"
"89","75","23","1108.13722688","high_load","1","1","0","","6","2","Male","Right-handed","yes","left","s","819.764549827","1065.92213602","11","5"
"90","76","23","1111.13672204","high_load","1","1","0","","6","3","Male","Right-handed","yes","left","d","794.603446346","1601.64071703","11","2"
"87","74","23","1105.6708607","high_load","0","0","0","","6","0","Male","Right-handed","yes","left","s","566.16058809","1317.22945311","11","7"
"87","75","23","1108.26994923","high_load","1","1","0","","6","3","Male","Right-handed","yes","down","s","1031.77265623","1345.91073137","11","2"
"100","0","23","862.924856007","high_load","1","0","1","7","0","4","Male","Right-handed","no","down","d","844.356703775","881.493008239","11","3"
