"acc_1","acc_2","age","avg_rt","condition","correct_1","correct_2","count_block_loop","dis_position","distance_dis","distance_tar","gender","hand","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position","tar_shape"
"0","0","26","3000.08659294","high_load","0","0","0","","6","2","Female","Right-handed","yes","None","None","3000.08531008","3000.0878758","2","red","4","diamond"
"0","50","26","2577.63811013","high_load","0","1","0","","6","0","Female","Right-handed","yes","None","d","3000.07953722","1310.29971742","2","green","2","diamond"
"33","66","26","2547.39237112","high_load","1","1","0","","6","4","Female","Right-handed","yes","left","d","2188.19468788","2785.60709831","2","green","6","circle"
"50","75","26","2248.11491974","high_load","1","1","0","","6","2","Female","Right-handed","yes","left","d","1747.34937398","953.215757222","2","green","4","circle"
"40","60","26","2223.65497908","high_load","0","0","0","","6","1","Female","Right-handed","yes","None","s","3000.13245513","1251.49797773","2","green","1","circle"
"33","50","26","2149.50768705","high_load","0","0","0","","6","4","Female","Right-handed","yes","left","s","2395.51262541","1162.02982838","2","red","6","circle"
"28","42","26","2102.87763927","high_load","0","0","0","","6","3","Female","Right-handed","yes","left","d","2426.7877514","1219.4069538","2","green","7","circle"
"25","50","26","2036.790896","high_load","0","1","0","","6","3","Female","Right-handed","yes","left","s","1696.35895918","1452.0084271","2","red","7","circle"
"22","55","26","1984.77008309","high_load","0","1","0","","6","4","Female","Right-handed","yes","down","s","2124.75284931","1012.4543102","2","red","6","circle"
"30","50","26","1952.25375773","high_load","1","0","0","","6","3","Female","Right-handed","yes","down","d","2213.29862346","1105.91503565","2","red","5","circle"
"36","54","26","1905.28930396","high_load","1","1","0","","6","2","Female","Right-handed","yes","left","d","1541.88548757","1329.40404492","2","red","0","circle"
"41","58","26","1880.98434742","high_load","1","1","0","","6","2","Female","Right-handed","yes","down","s","1746.32693582","1480.93271504","2","green","4","circle"
"46","53","26","1849.4206451","high_load","1","0","0","","6","1","Female","Right-handed","yes","left","d","1691.74515889","1249.56727582","2","green","1","diamond"
"50","50","26","1798.00784917","high_load","1","0","0","","6","2","Female","Right-handed","yes","left","s","1369.19991649","890.083087532","2","red","4","circle"
"53","53","26","1757.31669209","high_load","1","1","0","","6","3","Female","Right-handed","yes","left","s","1565.69950902","809.581477063","2","red","7","diamond"
"56","56","26","1727.12340729","high_load","1","1","0","","6","3","Female","Right-handed","yes","down","d","1323.34734963","1225.10092087","2","red","5","circle"
"58","58","26","1701.17005554","high_load","1","1","0","","6","3","Female","Right-handed","yes","down","s","1386.07944678","1185.75340831","2","red","7","circle"
"61","55","26","1660.34636179","high_load","1","0","0","","6","1","Female","Right-handed","yes","down","s","1139.45087887","793.236257299","2","green","3","circle"
"63","52","26","1619.24987623","high_load","1","0","0","","6","1","Female","Right-handed","yes","left","d","1077.17355503","681.85271695","2","green","3","circle"
"65","55","26","1582.36480998","high_load","1","1","0","","6","1","Female","Right-handed","yes","down","d","1081.69627237","681.400830073","2","red","3","circle"
"66","57","26","1558.06550113","high_load","1","1","0","","6","0","Female","Right-handed","yes","left","s","1263.23260436","880.926044175","2","red","2","circle"
"68","54","26","1527.88496854","high_load","1","0","0","","6","0","Female","Right-handed","yes","down","s","1098.65469845","689.532869559","2","red","2","diamond"
"100","100","26","1359.01402068","high_load","1","1","1","2","0","2","Female","Right-handed","no","down","s","1972.70237653","745.325664833","2","red","4","circle"
"100","100","26","1341.32909584","high_load","1","1","1","2","0","1","Female","Right-handed","no","down","s","1765.26288816","882.025453835","2","red","3","diamond"
"100","100","26","1363.78449005","high_load","1","1","1","3","1","2","Female","Right-handed","no","left","s","2071.83910903","745.551447913","2","green","4","circle"
"75","75","26","1354.87247265","high_load","0","0","1","3","1","0","Female","Right-handed","no","left","s","1396.21659396","1260.05624693","2","green","2","circle"
"80","80","26","1291.13333164","high_load","1","1","1","","6","2","Female","Right-handed","no","left","s","1390.7400714","681.613463856","2","red","0","diamond"
"83","66","26","1246.59299531","high_load","1","0","1","2","0","2","Female","Right-handed","no","left","s","1382.53939899","665.243228352","2","green","4","circle"
"85","57","26","1213.0611343","high_load","1","0","1","2","0","3","Female","Right-handed","no","down","s","1430.02215817","593.717778205","2","green","5","circle"
"87","62","26","1201.66319787","high_load","1","1","1","","6","1","Female","Right-handed","no","down","s","1610.42700904","633.328276734","2","green","3","diamond"
"77","66","26","1186.30583922","high_load","0","1","1","4","2","3","Female","Right-handed","no","down","d","1373.13444324","753.759496762","2","green","5","diamond"
"80","70","26","1168.22479977","high_load","1","1","1","2","0","2","Female","Right-handed","no","down","d","1353.51793452","657.472954939","2","green","0","diamond"
"81","63","26","1167.93230368","high_load","1","0","1","2","0","3","Female","Right-handed","no","down","s","1505.15532689","824.859358629","2","red","7","diamond"
"75","66","26","1166.20494454","high_load","0","1","1","4","2","4","Female","Right-handed","no","down","s","1356.7876199","937.620368199","2","green","6","circle"
"69","61","26","1157.02203021","high_load","0","0","1","2","0","3","Female","Right-handed","no","down","d","1288.52993085","805.124185505","2","green","5","circle"
"64","64","26","1160.96301707","high_load","0","1","1","2","0","4","Female","Right-handed","no","down","s","1344.86313023","1079.52856236","2","red","6","circle"
"60","60","26","1169.33479836","high_load","0","0","1","2","0","3","Female","Right-handed","no","left","s","1924.98068496","648.098787795","2","green","7","diamond"
"62","62","26","1154.14066005","high_load","1","1","1","2","0","1","Female","Right-handed","no","left","s","1274.80687368","577.650297288","2","red","3","diamond"
"64","58","26","1157.30057084","high_load","1","0","1","","6","1","Female","Right-handed","no","left","s","1590.43975424","825.278532615","2","red","1","circle"
"61","55","26","1160.72013685","high_load","0","0","1","2","0","2","Female","Right-handed","no","left","s","1635.87122282","801.834295104","2","green","4","diamond"
