"acc_1","acc_2","age","avg_rt","condition","correct_1","correct_2","count_block_loop","dis_position","distance_dis","distance_tar","gender","hand","practice","response_keyboard_response_1","response_keyboard_response_2","response_time_keyboard_response_1","response_time_keyboard_response_2","subject_nr","tar_color","tar_position","tar_shape"
"0","100","19","1510.61934812","low_load","0","1","0","","6","2","Female","Right-handed","yes","left","space","1055.13395177","1966.10474447","22","red","4","circle"
"50","100","19","1212.23742683","low_load","1","1","0","","6","1","Female","Right-handed","yes","left","space","1489.9361383","337.77487278","22","green","1","circle"
"66","100","19","1111.09878122","low_load","1","1","0","","6","0","Female","Right-handed","yes","left","space","1144.30138923","673.341590795","22","green","2","diamond"
"75","100","19","1024.34069663","low_load","1","1","0","","6","4","Female","Right-handed","yes","left","space","1038.10726661","490.025619089","22","green","6","diamond"
"80","100","19","1007.90577129","low_load","1","1","0","","6","3","Female","Right-handed","yes","down","space","1066.84695387","817.485185966","22","green","7","diamond"
"83","100","19","993.4455061","low_load","1","1","0","","6","3","Female","Right-handed","yes","down","space","1432.12578112","410.16257921","22","red","5","diamond"
"85","100","19","1034.91628943","low_load","1","1","0","","6","1","Female","Right-handed","yes","left","space","1893.82800703","673.653971739","22","green","1","diamond"
"87","100","19","1025.02146416","low_load","1","1","0","","6","2","Female","Right-handed","yes","down","space","1670.36018099","241.155193668","22","green","4","diamond"
"88","100","19","1009.2946869","low_load","1","1","0","","6","3","Female","Right-handed","yes","left","space","1085.1385573","681.822380328","22","red","5","circle"
"90","100","19","1063.75635506","low_load","1","1","0","","6","2","Female","Right-handed","yes","down","space","1986.51117324","1121.31156374","22","green","4","diamond"
"90","100","19","1068.54057226","low_load","1","1","0","","6","0","Female","Right-handed","yes","down","space","1630.9225693","601.842919219","22","red","2","circle"
"91","100","19","1078.33562595","low_load","1","1","0","","6","2","Female","Right-handed","yes","down","space","1474.7208777","897.441555266","22","red","0","diamond"
"92","100","19","1100.97293018","low_load","1","1","0","","6","2","Female","Right-handed","yes","down","space","1855.32176519","889.919396752","22","red","0","circle"
"92","100","19","1093.05631205","low_load","1","1","0","","6","0","Female","Right-handed","yes","left","space","1450.70571151","529.574841203","22","red","2","diamond"
"93","93","19","1147.17135965","low_load","1","0","0","","6","1","Female","Right-handed","yes","left","None","809.487400213","3000.076652","22","green","3","circle"
"93","93","19","1135.41911884","low_load","1","1","0","","6","2","Female","Right-handed","yes","left","space","1172.64979852","745.621214708","22","red","0","diamond"
"94","94","19","1113.67922859","low_load","1","1","0","","6","3","Female","Right-handed","yes","left","space","874.460709922","657.221259346","22","red","5","circle"
"94","94","19","1158.23863551","low_load","1","1","0","","6","3","Female","Right-handed","yes","down","space","2838.09495097","993.402155495","22","green","7","circle"
"94","94","19","1220.32219934","low_load","1","1","0","","6","1","Female","Right-handed","yes","down","space","1770.50937977","2905.14331678","22","green","1","circle"
"95","95","19","1200.06453681","low_load","1","1","0","","6","3","Female","Right-handed","yes","left","space","1268.80090623","361.536991157","22","red","5","circle"
"95","95","19","1186.71916603","low_load","1","1","0","","6","3","Female","Right-handed","yes","left","space","1446.3840143","393.239486482","22","red","7","diamond"
"95","95","19","1183.34014231","low_load","1","1","0","","6","2","Female","Right-handed","yes","down","space","1846.94841673","377.812871637","22","red","4","diamond"
"100","100","19","1028.73599898","low_load","1","1","1","2","0","2","Female","Right-handed","no","down","space","1583.84252922","473.629468746","22","green","0","diamond"
"100","100","19","1068.05197775","low_load","1","1","1","5","3","1","Female","Right-handed","no","down","space","1885.37608227","329.359830765","22","green","3","diamond"
"100","100","19","1036.90520939","low_load","1","1","1","2","0","3","Female","Right-handed","no","down","space","1139.26833587","809.955009448","22","green","7","diamond"
"100","100","19","937.83282681","low_load","1","1","1","","6","3","Female","Right-handed","no","down","space","975.802023604","305.429334563","22","red","5","circle"
"100","100","19","951.382911031","low_load","1","1","1","2","0","3","Female","Right-handed","no","down","space","1218.08518827","793.081307551","22","green","7","diamond"
"100","100","19","960.801404624","low_load","1","1","1","7","3","1","Female","Right-handed","no","down","space","1574.03075317","441.756992019","22","green","3","circle"
"100","100","19","894.674179998","low_load","1","1","1","","6","2","Female","Right-handed","no","down","space","714.410703309","281.410961165","22","red","0","diamond"
"100","100","19","888.462828433","low_load","1","1","1","4","2","1","Female","Right-handed","no","left","space","1344.12704603","345.839688933","22","green","1","diamond"
"100","100","19","967.422314219","low_load","1","1","1","","6","1","Female","Right-handed","no","left","space","996.613521289","2201.58287973","22","red","3","diamond"
"100","100","19","945.491531718","low_load","1","1","1","2","0","2","Female","Right-handed","no","left","space","1095.22262432","401.006354092","22","green","4","diamond"
